start,end,duration (mins)
Astor Pl,75th St - Eldert Ln,60.80333333333333
Astor Pl,69th St,53.184999999999995
Astor Pl,74th St - Broadway,54.99166666666667
Astor Pl,Woodhaven Blvd - Queens Mall,61.67833333333333
Astor Pl,Seneca Ave,43.11833333333333
Astor Pl,52nd St,45.281666666666666
Astor Pl,46th St,44.15333333333333
Astor Pl,Northern Blvd,49.730000000000004
Astor Pl,82nd St - Jackson Hts,59.63166666666667
Astor Pl,90th St - Elmhurst Av,61.865
Astor Pl,Howard Beach - JFK Airport,85.62166666666667
Astor Pl,Aqueduct - North Conduit Av,83.79666666666667
Astor Pl,Briarwood - Van Wyck Blvd,81.25333333333333
Astor Pl,Forest Hills - 71st Av,68.26
Astor Pl,Sutphin Blvd,81.49833333333332
Astor Pl,Jamaica Ctr - Parsons / Archer,97.295
Astor Pl,225th St,101.355
Astor Pl,Elder Ave,73.05833333333334
Astor Pl,Longwood Ave,63.79833333333333
Astor Pl,Astoria Blvd,44.38
Astor Pl,Astoria - Ditmars Blvd,48.155
Astor Pl,Jackson Ave,61.544999999999995
Astor Pl,Prospect Ave,50.76166666666666
Astor Pl,Cypress Ave,56.294999999999995
Astor Pl,174th St,75.39
Astor Pl,Allerton Ave,90.89
Astor Pl,E 143rd St - St Mary's St,58.475
Astor Pl,Bedford Park Blvd - Lehman College,88.66333333333334
Astor Pl,Harlem - 148 St,59.95166666666667
Astor Pl,Mt Eden Ave,71.685
Astor Pl,Fordham Rd,81.635
Astor Pl,Bedford Park Blvd,87.53
Astor Pl,Marble Hill - 225th St,88.56666666666666
Astor Pl,231st St,92.62833333333333
Astor Pl,215th St,81.32333333333332
Astor Pl,207th St,78.71000000000001
Astor Pl,Inwood - 207th St,80.47833333333332
Astor Pl,Van Cortlandt Park - 242nd St,99.33166666666666
Astor Pl,West Farms Sq - E Tremont Av,77.74333333333334
Astor Pl,219th St,99.25500000000001
Astor Pl,Mosholu Pkwy,90.88833333333334
Astor Pl,Norwood - 205th St,91.48333333333333
Astor Pl,Burke Ave,93.47666666666667
Astor Pl,Baychester Ave,99.83333333333333
Astor Pl,Eastchester - Dyre Ave,107.51333333333334
Astor Pl,Jamaica - 179th St,94.25
Astor Pl,Wakefield - 241st St,109.04666666666667
Astor Pl,Botanic Garden,46.745
Astor Pl,Bushwick - Aberdeen,50.43333333333333
Astor Pl,E 180th St,75.705
Astor Pl,Dyckman St,77.25
Astor Pl,Franklin Ave - Fulton St,37.056666666666665
Astor Pl,3rd Ave - 149th St,57.769999999999996
Astor Pl,Brook Ave,53.18
Astor Pl,40th St,42.565000000000005
Astor Pl,155th St,59.031666666666666
Astor Pl,Utica Ave,44.02166666666667
Astor Pl,Steinway St,46.93
Astor Pl,Kosciuszko St,39.138333333333335
Astor Pl,Gates Ave,42.95666666666667
Astor Pl,Central Ave,37.20166666666667
Astor Pl,Knickerbocker Ave,38.59666666666667
Astor Pl,30th Ave,43.019999999999996
Astor Pl,Jefferson St,36.24666666666667
Astor Pl,Morgan Ave,32.57333333333334
Astor Pl,Queens Plz,38.126666666666665
Astor Pl,18th Ave,61.141666666666666
Astor Pl,Bay Ridge Ave,46.16166666666666
Astor Pl,25th Ave,69.01
Astor Pl,Bay Pky,63.75
Astor Pl,20th Ave,63.41166666666666
Astor Pl,Bay Ridge - 95th St,55.135
Astor Pl,71st St,56.36333333333334
Astor Pl,62nd St,52.28666666666666
Astor Pl,New Utrecht Ave,53.111666666666665
Astor Pl,Ave U,70.265
Astor Pl,Kings Hwy,66.93666666666667
Astor Pl,Brighton Beach,83.21000000000001
Astor Pl,Sheepshead Bay,82.70166666666667
Astor Pl,Neptune Ave,81.45166666666667
Astor Pl,Ave X,73.99333333333334
Astor Pl,Bay 50th St,73.50333333333333
Astor Pl,Gravesend - 86th St,71.265
Astor Pl,Ave P,64.47833333333332
Astor Pl,Ave N,62.30333333333333
Astor Pl,Ave M,68.06
Astor Pl,Ave I,61.53333333333333
Astor Pl,Ave J,66.96833333333333
Astor Pl,Ave H,66.41
Astor Pl,Neck Rd,77.11999999999999
Astor Pl,21st St - Queensbridge,37.519999999999996
Astor Pl,47th-50th Sts - Rockefeller Ctr,17.186666666666667
Astor Pl,57th St,22.513333333333332
