NTAName,Latitude,Longitude
East Midtown-Turtle Bay,40.762106,-73.968336
Washington Heights (North),40.849579,-73.935065
Tompkinsville-Stapleton-Clifton-Fox Hills,40.62776,-74.07766
Woodside,40.745114,-73.904027
Port Richmond,40.638743,-74.132956
West Village,40.737379,-74.004929
Stuyvesant Town-Peter Cooper Village,40.731266,-73.974185
Ozone Park,40.679836,-73.844731
New Dorp-Midland Beach,40.57029,-74.110121
Kensington,40.643612,-73.97723
St. George-New Brighton,40.646853,-74.088536
Upper East Side-Yorkville,40.776884,-73.949159
Rosebank-Shore Acres-Park Hill,40.604596,-74.069364
Cypress Hills,40.689797,-73.872708
Prospect Park,40.66007,-73.977772
Midtown-Times Square,40.758113,-73.978021
Bensonhurst,40.620663,-73.98875
Corona,40.737772,-73.85216
Sunset Park (East)-Borough Park (West),40.645704,-73.994843
Astoria (East)-Woodside (North),40.76124,-73.917317
Upper East Side-Carnegie Hill,40.78113,-73.954451
Grasmere-Arrochar-South Beach-Dongan Hills,40.598406,-74.07912
East Elmhurst,40.763149,-73.875137
Westerleigh-Castleton Corners,40.610565,-74.144594
Bedford-Stuyvesant (West),40.690902,-73.955843
Hell's Kitchen,40.759847,-73.995181
Astoria (Central),40.768061,-73.923648
East Midtown-Turtle Bay,40.756196,-73.961653
Tompkinsville-Stapleton-Clifton-Fox Hills,40.61864,-74.075755
Bushwick (West),40.704149,-73.919426
Gravesend (West),40.60188,-73.993637
Gravesend (West),40.600434,-73.995232
Bushwick (West),40.693965,-73.929692
Rosedale,40.657435,-73.741759
Hell's Kitchen,40.758584,-73.992665
Sunset Park (Central),40.639689,-74.015843
Upper East Side-Yorkville,40.773109,-73.949262
Tompkinsville-Stapleton-Clifton-Fox Hills,40.61498,-74.085133
Park Slope,40.681882,-73.976787
Mariner's Harbor-Arlington-Graniteville,40.63791,-74.162089
Upper East Side-Yorkville,40.775777,-73.947318
University Heights (North)-Fordham,40.865775,-73.894863
Upper East Side-Carnegie Hill,40.770075,-73.966558
Kingsbridge-Marble Hill,40.87906,-73.904768
Corona,40.734502,-73.864618
Astoria (East)-Woodside (North),40.76392,-73.914819
Grasmere-Arrochar-South Beach-Dongan Hills,40.598237,-74.072091
Upper East Side-Yorkville,40.781562,-73.945891
Miller Field,40.568821,-74.106638
Washington Heights (South),40.84803,-73.936989
Park Slope,40.667271,-73.981178
Flatbush,40.649313,-73.963199
Borough Park,40.630239,-73.985805
Wakefield-Woodlawn,40.897026,-73.867163
Tompkinsville-Stapleton-Clifton-Fox Hills,40.634895,-74.075448
Jamaica,40.712528,-73.784081
Tompkinsville-Stapleton-Clifton-Fox Hills,40.629336,-74.076689
Park Slope,40.669431,-73.98597
Rosebank-Shore Acres-Park Hill,40.613978,-74.072297
Elmhurst,40.736357,-73.878318
West New Brighton-Silver Lake-Grymes Hill,40.629042,-74.115975
Upper West Side-Manhattan Valley,40.799738,-73.968497
Brooklyn Heights,40.692022,-73.989228
Astoria (North)-Ditmars-Steinway,40.77283,-73.906292
East Elmhurst,40.767857,-73.880212
Wakefield-Woodlawn,40.893135,-73.856867
Upper East Side-Carnegie Hill,40.763812,-73.967079
Richmond Hill,40.701097,-73.841261
Chinatown-Two Bridges,40.71288,-73.992288
Richmond Hill,40.700562,-73.83632
Rosedale,40.66568,-73.73623
Jackson Heights,40.764727,-73.88714
Richmond Hill,40.696843,-73.837062
Sunset Park (Central),40.644861,-74.010021
North Corona,40.75342,-73.864397
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,40.587307,-73.953339
Far Rockaway-Bayswater,40.595319,-73.751469
Upper East Side-Yorkville,40.773596,-73.948771
New Dorp-Midland Beach,40.567914,-74.112151
Mount Eden-Claremont (West),40.838994,-73.913297
Midtown-Times Square,40.756311,-73.987399
Norwood,40.874875,-73.8794
Grasmere-Arrochar-South Beach-Dongan Hills,40.607445,-74.089593
Bensonhurst,40.619513,-73.989907
East Midtown-Turtle Bay,40.760727,-73.968725
Upper East Side-Carnegie Hill,40.770658,-73.962551
New Dorp-Midland Beach,40.570412,-74.109522
Mapleton-Midwood (West),40.620765,-73.97541
Old Astoria-Hallets Point,40.765445,-73.931388
Park Slope,40.676682,-73.98019
Mariner's Harbor-Arlington-Graniteville,40.63699,-74.159932
Park Slope,40.669432,-73.986637
Upper West Side (Central),40.792344,-73.97148
St. George-New Brighton,40.647418,-74.087873
East Midtown-Turtle Bay,40.755505,-73.970922
Midtown-Times Square,40.760705,-73.98407
Grasmere-Arrochar-South Beach-Dongan Hills,40.598531,-74.072639
St. George-New Brighton,40.646592,-74.089208
St. George-New Brighton,40.641114,-74.094946
West New Brighton-Silver Lake-Grymes Hill,40.634709,-74.114634
Astoria (East)-Woodside (North),40.767895,-73.911871
Great Kills-Eltingville,40.53454,-74.154361
Sunset Park (Central),40.639261,-74.015951
Laurelton,40.677514,-73.744248
Inwood,40.865578,-73.926845
Bay Ridge,40.621293,-74.026112
Grasmere-Arrochar-South Beach-Dongan Hills,40.605776,-74.086303
Woodhaven,40.693813,-73.851904
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.679115,-74.010729
Westerleigh-Castleton Corners,40.614308,-74.101888
Astoria (East)-Woodside (North),40.763947,-73.915187
Grasmere-Arrochar-South Beach-Dongan Hills,40.598576,-74.078051
Upper East Side-Carnegie Hill,40.777452,-73.961191
Rosebank-Shore Acres-Park Hill,40.613999,-74.065902
East Williamsburg,40.712062,-73.940017
St. George-New Brighton,40.647757,-74.086966
Astoria (North)-Ditmars-Steinway,40.77366,-73.893013
Coney Island-Sea Gate,40.574968,-74.002804
Laurelton,40.671935,-73.756343
Upper East Side-Carnegie Hill,40.767437,-73.964888
Corona,40.736544,-73.859004
Kingsbridge-Marble Hill,40.875752,-73.90825
Elmhurst,40.736494,-73.877838
Astoria (East)-Woodside (North),40.763822,-73.915208
Upper East Side-Yorkville,40.774314,-73.948386
Sunset Park (West),40.652335,-74.005795
Stuyvesant Town-Peter Cooper Village,40.729699,-73.974715
University Heights (North)-Fordham,40.869439,-73.90377
Great Kills-Eltingville,40.5356,-74.152275
Far Rockaway-Bayswater,40.595047,-73.755819
Port Richmond,40.62506,-74.144481
Upper East Side-Lenox Hill-Roosevelt Island,40.768087,-73.955742
Sunset Park (West),40.653814,-74.00524
Westerleigh-Castleton Corners,40.626832,-74.125208
Upper East Side-Lenox Hill-Roosevelt Island,40.762558,-73.965738
Grasmere-Arrochar-South Beach-Dongan Hills,40.598841,-74.06422
Chinatown-Two Bridges,40.712601,-73.989561
Upper West Side (Central),40.788533,-73.976086
Oakland Gardens-Hollis Hills,40.748911,-73.756702
West Village,40.734228,-74.002587
St. Albans,40.696066,-73.746528
Grasmere-Arrochar-South Beach-Dongan Hills,40.598662,-74.081064
Upper East Side-Lenox Hill-Roosevelt Island,40.761523,-73.963754
Upper East Side-Lenox Hill-Roosevelt Island,40.763333,-73.95624
Belmont,40.860827,-73.889882
Tompkinsville-Stapleton-Clifton-Fox Hills,40.624503,-74.079461
Bedford Park,40.872033,-73.888206
Park Slope,40.66891,-73.986637
Kensington,40.645476,-73.979895
Port Richmond,40.636099,-74.134826
New Dorp-Midland Beach,40.570901,-74.109122
Upper East Side-Carnegie Hill,40.785852,-73.951207
Tremont,40.846781,-73.896223
Kingsbridge-Marble Hill,40.879254,-73.9054
Midtown-Times Square,40.766137,-73.979694
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.674045,-74.002126
Woodside,40.745562,-73.903548
Jackson Heights,40.749837,-73.884432
Astoria (Central),40.761803,-73.925433
Downtown Brooklyn-DUMBO-Boerum Hill,40.687563,-73.986727
Gravesend (South),40.592785,-73.978889
Coney Island-Sea Gate,40.577395,-74.000262
Cypress Hills,40.681721,-73.871923
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.676988,-74.013231
Chelsea-Hudson Yards,40.747927,-74.003847
Upper East Side-Carnegie Hill,40.78436,-73.956137
Rosebank-Shore Acres-Park Hill,40.615865,-74.067359
Midwood,40.625517,-73.958932
Queensbridge-Ravenswood-Dutch Kills,40.765089,-73.931595
Grasmere-Arrochar-South Beach-Dongan Hills,40.598016,-74.076208
Jackson Heights,40.765178,-73.889116
St. George-New Brighton,40.646355,-74.07844
Astoria (North)-Ditmars-Steinway,40.782262,-73.914779
Park Slope,40.676845,-73.973898
Chinatown-Two Bridges,40.712807,-73.988886
Tompkinsville-Stapleton-Clifton-Fox Hills,40.626381,-74.078046
Upper West Side (Central),40.787953,-73.974696
Bensonhurst,40.606983,-74.002384
Chinatown-Two Bridges,40.713808,-73.99265
Midtown-Times Square,40.764061,-73.976728
Kensington,40.645396,-73.973514
New Springville-Willowbrook-Bulls Head-Travis,40.608078,-74.156841
West New Brighton-Silver Lake-Grymes Hill,40.609731,-74.090733
Rosebank-Shore Acres-Park Hill,40.607606,-74.07621
Park Slope,40.67057,-73.985025
Ocean Hill,40.683212,-73.91117
Sunset Park (Central),40.645297,-74.010014
Rosebank-Shore Acres-Park Hill,40.615339,-74.073349
Brighton Beach,40.581414,-73.967253
Port Richmond,40.640318,-74.130766
East Midtown-Turtle Bay,40.758095,-73.962478
Norwood,40.879494,-73.8856
Port Richmond,40.633841,-74.125398
Grasmere-Arrochar-South Beach-Dongan Hills,40.596787,-74.070098
Mount Hope,40.853609,-73.906964
Park Slope,40.67017,-73.985584
Westerleigh-Castleton Corners,40.613358,-74.100531
Downtown Brooklyn-DUMBO-Boerum Hill,40.69022,-73.987469
Upper West Side (Central),40.788158,-73.971085
West Village,40.731571,-74.006534
Upper East Side-Lenox Hill-Roosevelt Island,40.773208,-73.95799
New Springville-Willowbrook-Bulls Head-Travis,40.595642,-74.161776
Astoria (Central),40.761829,-73.925206
South Ozone Park,40.682029,-73.836716
East Flatbush-Erasmus,40.650764,-73.949277
Upper East Side-Yorkville,40.782675,-73.948302
Borough Park,40.630641,-73.977573
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.690701,-73.996401
Queens Village,40.703532,-73.740957
Westerleigh-Castleton Corners,40.62426,-74.139166
Old Astoria-Hallets Point,40.769704,-73.927436
Park Slope,40.666648,-73.981897
Midtown-Times Square,40.75357,-73.98098
Annadale-Huguenot-Prince's Bay-Woodrow,40.531413,-74.217676
Ozone Park,40.676648,-73.843509
Grasmere-Arrochar-South Beach-Dongan Hills,40.598413,-74.0919
Upper East Side-Carnegie Hill,40.768812,-73.967483
West New Brighton-Silver Lake-Grymes Hill,40.637398,-74.1127
East New York (North),40.676651,-73.890777
Astoria (Central),40.766032,-73.919706
Laurelton,40.676343,-73.740813
Sunset Park (Central),40.636607,-74.01154
Upper East Side-Lenox Hill-Roosevelt Island,40.768049,-73.956372
Upper East Side-Yorkville,40.774585,-73.950985
North Corona,40.757776,-73.860512
North Corona,40.750232,-73.8628
Tompkinsville-Stapleton-Clifton-Fox Hills,40.626764,-74.075789
Kingsbridge Heights-Van Cortlandt Village,40.878029,-73.902633
West New Brighton-Silver Lake-Grymes Hill,40.634794,-74.111842
Bedford Park,40.866058,-73.894031
Howard Beach-Lindenwood,40.664506,-73.849797
Upper West Side-Lincoln Square,40.769517,-73.981883
East Midtown-Turtle Bay,40.754142,-73.974132
West New Brighton-Silver Lake-Grymes Hill,40.634584,-74.117749
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,40.587519,-73.955125
Springfield Gardens (North)-Rochdale Village,40.667706,-73.780563
Rosebank-Shore Acres-Park Hill,40.613883,-74.084703
Laurelton,40.670818,-73.756361
Kingsbridge-Marble Hill,40.884966,-73.900634
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.674894,-74.001108
College Point,40.781563,-73.846043
Upper East Side-Lenox Hill-Roosevelt Island,40.766741,-73.956738
