Location,total people
"40.700466,-73.909988",122.0
"40.700489,-73.807884",436.0
"40.700504,-73.807823",275.0
"40.701057,-73.904549",242.0
"40.701538,-74.012482",186.0
"40.701748,-73.802399",797.0
"40.701767,-73.741272",22.0
"40.702095,-73.801735",156.0
"40.702171,-74.013535",331.0
"40.702263,-73.730339",130.0
"40.702419,-74.013046",225.0
"40.702473,-73.874916",1.0
"40.702515,-73.991913",281.0
"40.703548,-73.740952",8.0
"40.704323,-73.919373",184.0
"40.704529,-73.792351",240.0
"40.704739,-73.902275",168.0
"40.704906,-73.793304",1134.0
"40.705685,-73.896698",3.0
"40.705929,-73.753258",1.0
"40.70615,-73.753395",1.0
"40.706459,-73.896828",9.0
"40.706913,-73.967377",96.0
"40.707123,-73.804382",169.0
"40.707287,-73.789581",437.0
"40.707558,-73.795502",170.0
"40.707565,-73.795509",150.0
"40.707623,-73.750259",5.0
"40.707813,-73.795418",110.0
"40.707832,-73.795425",122.0
"40.708008,-74.012711",103.0
"40.708107,-73.795555",152.0
"40.708622,-73.795944",147.0
"40.709259,-73.959633",102.0
"40.709286,-73.959526",236.0
"40.709354,-73.960434",178.0
"40.709393,-73.959518",374.0
"40.709469,-73.959503",275.0
"40.709518,-73.959496",238.0
"40.709541,-73.959335",17.0
"40.709949,-73.818932",3.0
"40.710854,-73.910278",1.0
"40.710861,-73.991936",109.0
"40.711239,-73.856232",5.0
"40.711472,-74.015762",126.0
"40.71162,-73.729233",90.0
"40.711861,-74.006157",209.0
"40.712208,-73.888664",4.0
"40.712276,-73.784935",6.0
"40.712364,-73.784546",5.0
"40.712528,-73.784081",2.0
"40.71262,-73.89975",11.0
"40.712856,-73.782707",5.0
"40.713264,-73.977982",210.0
"40.713348,-73.914307",252.0
"40.71336,-73.977791",41.0
"40.713528,-73.779831",2.0
"40.714123,-74.014862",40.0
"40.71463,-74.015694",57.0
"40.715233,-73.832024",354.0
"40.715488,-74.00531",20.0
"40.716103,-74.004768",36.0
"40.716377,-74.004883",118.0
"40.716423,-73.980247",243.0
"40.717762,-73.735481",6.0
"40.717834,-73.735626",234.0
"40.718987,-73.735283",50.0
"40.719425,-73.990494",10.0
"40.720577,-73.747093",1.0
"40.721062,-73.904091",165.0
"40.72401,-73.987801",53.0
"40.725082,-73.975456",42.0
"40.725647,-73.725151",4.0
"40.72583,-73.72506",44.0
"40.725906,-74.008743",44.0
"40.726711,-73.934227",116.0
"40.727776,-73.708687",79.0
"40.727844,-73.892418",15.0
"40.729568,-73.990051",655.0
"40.730076,-73.888435",5.0
"40.730103,-73.954445",70.0
"40.730217,-73.887123",6.0
"40.73064,-73.863052",196.0
"40.731342,-73.990288",835.0
"40.732628,-73.943283",1.0
"40.732796,-73.974541",133.0
"40.732845,-74.010078",45.0
"40.73296,-73.739403",2.0
"40.733963,-73.825188",3.0
"40.734066,-73.825462",3.0
"40.734272,-73.869301",217.0
"40.735901,-73.746468",18.0
"40.736988,-74.006355",211.0
"40.737091,-73.978867",128.0
"40.737194,-73.955673",190.0
"40.737381,-74.004929",154.0
"40.73793,-73.996346",332.0
"40.737995,-73.973404",103.0
"40.738022,-73.794884",1.0
"40.738239,-74.003967",36.0
"40.738514,-73.793098",12.0
"40.73877,-73.701866",346.0
"40.739254,-73.7938",12.0
"40.739334,-73.824966",12.0
"40.739388,-73.815559",2.0
"40.739597,-73.976425",123.0
"40.739819,-73.824799",4.0
"40.739941,-73.792999",7.0
"40.74012,-73.82489",10.0
"40.740543,-73.786415",34.0
"40.740864,-73.792938",2.0
"40.741142,-73.988792",170.0
"40.741184,-73.793098",5.0
"40.741264,-73.712791",2.0
"40.741524,-73.7248",8.0
"40.742668,-73.775597",3.0
"40.74292,-73.775795",17.0
"40.743439,-73.971809",90.0
"40.743694,-73.776596",4.0
"40.744072,-73.77594",1.0
"40.744324,-74.005936",220.0
"40.744984,-74.007431",3.0
"40.745022,-73.777512",19.0
"40.745594,-73.767181",1.0
"40.745964,-73.768311",3.0
"40.747883,-73.94751",31.0
"40.748043,-73.98896",254.0
"40.748047,-73.969887",201.0
"40.748638,-73.938446",190.0
"40.748718,-74.00811",164.0
"40.749405,-73.99102",662.0
"40.749481,-73.757454",2.0
"40.749866,-73.75708",2.0
"40.751041,-73.757446",21.0
"40.751991,-73.720215",108.0
"40.752316,-73.981857",34.0
"40.753353,-73.779991",6.0
"40.75351,-73.966965",71.0
"40.753742,-73.756927",129.0
"40.754017,-73.758087",8.0
"40.755066,-73.706421",221.0
"40.755196,-73.885406",264.0
"40.75589,-73.98278",87.0
"40.756535,-74.003944",49.0
"40.75655,-73.99012",222.0
"40.757229,-73.989838",5.0
"40.757389,-73.829292",618.0
"40.758617,-73.992638",82.0
"40.758999,-73.831757",331.0
"40.759312,-73.959465",107.0
"40.759586,-73.830299",128.0
"40.760048,-73.802139",9.0
"40.760277,-73.830406",20.0
"40.760429,-73.967674",768.0
"40.760906,-73.827316",70.0
"40.760971,-73.827057",163.0
"40.761009,-73.827042",137.0
"40.761806,-73.829559",860.0
"40.762051,-74.000999",65.0
"40.76215,-74.001442",192.0
"40.762562,-73.972794",210.0
"40.762661,-73.733757",1.0
"40.763908,-73.956299",136.0
"40.764198,-73.726044",148.0
"40.764412,-73.788635",7.0
"40.76458,-73.788376",1.0
"40.766315,-73.977493",408.0
"40.766762,-73.982742",186.0
"40.766949,-73.954117",130.0
"40.76709,-73.981842",49.0
"40.767117,-73.962448",55.0
"40.767651,-73.963707",1.0
"40.767925,-73.991859",178.0
"40.768387,-73.862534",213.0
"40.768661,-73.868286",67.0
"40.769798,-73.990349",43.0
"40.770035,-73.990974",119.0
"40.770679,-73.779839",4.0
"40.770741,-73.948715",139.0
"40.770882,-73.982338",121.0
"40.771492,-73.782143",4.0
"40.771725,-73.734749",155.0
"40.771805,-73.794235",1.0
"40.771828,-73.781952",11.0
"40.772369,-73.780708",6.0
"40.772587,-73.795296",3.0
"40.772629,-73.795067",134.0
"40.773129,-73.741417",56.0
"40.776009,-73.987022",106.0
"40.776501,-73.988632",83.0
"40.779034,-73.982414",107.0
"40.779755,-73.944534",348.0
"40.782063,-73.836716",139.0
"40.782291,-73.777061",153.0
"40.784073,-73.845894",171.0
"40.78421,-73.84536",141.0
"40.784546,-73.94548",163.0
"40.78474,-73.982346",139.0
"40.785267,-73.930565",55.0
"40.785419,-73.942986",1.0
"40.785725,-73.948792",36.0
"40.786503,-73.822296",3.0
"40.786663,-73.813538",1.0
"40.787506,-73.949829",17.0
"40.788277,-73.938843",39.0
"40.788357,-73.976791",148.0
"40.791431,-73.781059",269.0
"40.793839,-73.797424",90.0
"40.794933,-73.972687",193.0
"40.797165,-73.949142",23.0
"40.797245,-73.931694",121.0
"40.799751,-73.911469",49.0
"40.800308,-73.962212",4.0
"40.801155,-73.967575",159.0
"40.801819,-73.967644",404.0
"40.801968,-73.931358",292.0
"40.80323,-73.932449",1087.0
"40.803886,-73.937851",23.0
"40.803986,-73.934212",203.0
"40.804581,-73.937416",58.0
"40.804741,-73.955025",8.0
"40.804901,-73.918678",197.0
"40.807869,-73.852715",391.0
"40.809174,-73.801765",197.0
"40.809616,-73.928276",565.0
"40.810043,-73.876694",428.0
"40.810356,-73.952751",9.0
"40.810493,-73.952927",28.0
"40.810955,-73.927139",398.0
"40.812946,-73.827042",189.0
"40.813728,-73.802574",219.0
"40.814106,-73.820015",2.0
"40.814224,-73.953178",216.0
"40.814728,-73.846916",217.0
"40.815166,-73.915298",1.0
"40.815685,-73.916992",5.0
"40.816143,-73.917549",172.0
"40.816299,-73.915703",173.0
"40.816803,-73.916328",146.0
"40.816959,-73.947807",65.0
"40.817059,-73.916084",93.0
"40.817066,-73.959778",282.0
"40.817101,-73.916031",188.0
