start,end,duration (mins)
Gun Hill Rd,Bergen St,107.28500000000001
Gun Hill Rd,Freeman St,32.04666666666667
Gun Hill Rd,Junction Blvd,97.49833333333332
Gun Hill Rd,Chauncey St,122.64833333333333
Gun Hill Rd,Union St,107.7
Gun Hill Rd,Pelham Pkwy,7.673333333333333
Gun Hill Rd,Simpson St,34.248333333333335
Gun Hill Rd,Bronx Park East,16.981666666666666
Gun Hill Rd,Winthrop St,121.735
Gun Hill Rd,Kingsbridge Rd,24.743333333333332
Gun Hill Rd,Prospect Park,119.89833333333333
Gun Hill Rd,Broadway,75.07
Gun Hill Rd,Lorimer St,102.50666666666666
Gun Hill Rd,Halsey St,113.345
Gun Hill Rd,Park Pl,108.98333333333333
Gun Hill Rd,Middletown Rd,18.666666666666668
Gun Hill Rd,Court Sq,81.71833333333333
Gun Hill Rd,Houston St,100.85333333333332
Gun Hill Rd,Broad Channel,167.50833333333333
Gun Hill Rd,Ocean Pkwy,150.825
Gun Hill Rd,Rockaway Blvd,133.23
Gun Hill Rd,Beverly Rd,125.08333333333333
